stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
43.291883,2760,-79.791904,355457,,,BEACH BV & OPPOSITE DIEPPE MEMORIAL,BEACH opposite DIEPPE MEMORIAL,0,
43.257224,2922,-79.874013,355454,,,BAY ST S & GEORGE ST,BAY opposite GEORGE,0,
43.25443,2968,-79.873284,355452,,,HUNTER ST W & PARK ST S,HUNTER opposite PARK,0,
43.254744,2968,-79.874992,355453,,,HUNTER ST W & BAY ST S,HUNTER at BAY,0,
43.255835,8900,-79.869533,355450,,,JAMES ST S & MAIN ST E,JAMES at MAIN,0,
43.254071,2966,-79.871762,355451,,,HUNTER ST W & MACNAB ST S,HUNTER at MACNAB,0,
43.273618,1698,-79.8616,355458,,,JAMES ST N & GUISE ST E,JAMES at GUISE,0,
43.273421,1699,-79.861848,355459,,,JAMES ST N & GUISE ST E,JAMES at GUISE,0,
43.224366,1002,-79.776155,2318,,,NASH RD S & DENTEN STREET OPP. (@ # 149),NASH opposite DENTEN,0,
43.233441,1005,-79.772418,2319,,,NASH RD N & KENTLEY DRIVE,NASH at KENTLEY,0,
43.239222,2988,-79.77109,2316,,,BARTON ST E & NASH RD N,BARTON at NASH,0,
43.22473,2991,-79.776203,2317,,,NASH RD S & DENTEN STREET,NASH at DENTEN,0,
43.238488,1008,-79.770411,2315,,,NASH RD N & BARTON ST,NASH at BARTON,0,
43.1842,1400,-79.902213,2312,,,MOUNTAIN TRANSIT CENTRE & UPPER JAMES ST,MOUNTAIN TRANSIT CENTRE,0,
43.184218,2292,-79.902992,2313,,,PRIVATE RD & UPPER JAMES ST,MOUNTAIN TRANSIT CENTRE,0,
43.217015,2798,-79.755979,2311,,,JONES ST & MOUNTAIN AV N,JONES at MOUNTAIN,0,
43.232704,2335,-79.907771,2268,,,MOHAWK RD W & BUCKINGHAM DRIVE (EAST LEG),MOHAWK at BUCKINGHAM EAST,0,
43.233554,2337,-79.914979,2269,,,MOHAWK RD W & BUCKINGHAM DRIVE (WEST LEG),MOHAWK at BUCKINGHAM WEST,0,
43.233736,2339,-79.920717,2262,,,MOHAWK RD W & #760 E MAGNOLIA DR.,At 760 MOHAWK,0,
43.233547,2354,-79.920624,2263,,,MOHAWK RD W & OPPOSITE #770,Opposite 770 MOHAWK,0,
43.230739,2361,-79.891251,2260,,,MOHAWK RD W & #261 E SOUTHLEA DR.,At 261 MOHAWK,0,
43.230824,2332,-79.891612,2261,,,MOHAWK RD W & #263 E SOUTHLEA DR. OPP.,At 263 MOHAWK,0,
43.232279,2358,-79.906651,2266,,,MOHAWK RD W & ASHTON ROAD,MOHAWK at ASHTON,0,
43.233375,2356,-79.914705,2267,,,MOHAWK RD W & BUCKINGHAM DR OPP. (OP.# 704),MOHAWK opposite BUCKINGHAM,0,
43.233585,2341,-79.926788,2264,,,MOHAWK RD W & #924 (E OF SCENIC),At 924 MOHAWK,0,
43.229389,1499,-79.883606,2265,,,MOHAWK RD W & AMANDA STREET (OPP.) (@# 30),MOHAWK opposite AMANDA,0,
