route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
2624,2_merged_878626,838665,Eastbound to BELLMANOR LOOP ,0,a_409661,17005
2626,3_merged_878625,839798,Eastbound to MOUNT ALBION LOOP ,0,a_409727,17019
2626,3_merged_878625,839799,Eastbound to MOUNT ALBION LOOP ,0,a_409730,17019
2624,2_merged_878626,838664,Eastbound to BELLMANOR LOOP ,0,a_409660,17005
2626,3_merged_878625,839792,Eastbound to MOUNT ALBION LOOP ,0,a_409728,17019
2626,3_merged_878625,839793,Eastbound to MOUNT ALBION LOOP ,0,a_409729,17019
2626,2_merged_878626,839790,Westbound to JAMES at MAIN,1,a_409723,17023
2626,3_merged_878625,839791,Eastbound to MOUNT ALBION LOOP ,0,a_409727,17019
2626,3_merged_878625,839796,Eastbound to MOUNT ALBION LOOP ,0,a_409728,17019
2626,3_merged_878625,839797,Eastbound to MOUNT ALBION LOOP ,0,a_409729,17019
2626,3_merged_878625,839794,Eastbound to MOUNT ALBION LOOP ,0,a_409727,17019
2626,3_merged_878625,839795,Eastbound to MOUNT ALBION LOOP ,0,a_409730,17019
2624,2_merged_878626,838666,Eastbound to BELLMANOR LOOP ,0,a_409658,17005
2710,2_merged_878629,867172,Westbound to PIRIE at GOVERNORS,0,b_411221,17491
2624,2_merged_878626,838661,Eastbound to BELLMANOR LOOP ,0,a_409668,17005
2624,2_merged_878626,838660,Eastbound to BELLMANOR LOOP ,0,a_409660,17005
2624,2_merged_878626,838663,Eastbound to BELLMANOR LOOP ,0,a_409658,17005
2624,2_merged_878626,838662,Eastbound to BELLMANOR LOOP ,0,a_409661,17005
2705,1_merged_878624,861421,Eastbound to QUIGLEY at GREENHILL ,1,a_410879,17438
2705,1_merged_878624,861420,Eastbound to JONES at KING ,1,a_410884,17444
2705,1_merged_878624,861423,Eastbound to JONES at KING ,1,a_410875,17444
2715,1_merged_878627,868911,Westbound to McMASTER MEDICAL CENTRE TERMINAL,1,b_411301,17538
2705,1_merged_878624,861425,Eastbound to JONES at KING ,1,a_410872,17444
2705,1_merged_878624,861424,Eastbound to QUIGLEY at GREENHILL ,1,a_410881,17438
2705,1_merged_878624,861427,Eastbound to JONES at KING ,1,a_410873,17444
2705,1_merged_878624,861426,Eastbound to GREENHILL opposite MALTA ,1,a_410880,17454
2705,1_merged_878624,861429,Eastbound to JONES at KING ,1,a_410885,17444
2705,1_merged_878624,861428,Eastbound to QUIGLEY at GREENHILL ,1,a_410877,17438
2715,1_merged_878627,868918,Westbound to UNIVERSITY PLAZA LOOP,1,b_411309,17540
2715,1_merged_878627,868919,Westbound to McMASTER MEDICAL CENTRE TERMINAL,1,b_411297,17538
2748,2_merged_878629,876434,Eastbound to GAGE at INDUSTRIAL,1,b_411667,17683
2748,2_merged_878629,876435,Eastbound to GAGE at INDUSTRIAL,1,b_411671,17683
2640,1_merged_878624,862873,Southbound to RYMAL opp SULMONA ,0,a_409991,17106
2640,1_merged_878624,862872,Southbound to RYMAL opp SULMONA ,0,a_409986,17106
2640,1_merged_878624,862871,Southbound to RYMAL opp SULMONA ,0,a_409988,17106
2640,1_merged_878624,862870,Southbound to RYMAL opp SULMONA ,0,a_409987,17106
2640,1_merged_878624,862877,Northbound to MACNAB TERMINAL PLATFORM 2,1,a_409991,17107
2640,1_merged_878624,862876,Northbound to MACNAB TERMINAL PLATFORM 2,1,a_409986,17107
2640,1_merged_878624,862875,Northbound to MACNAB TERMINAL PLATFORM 2,1,a_409990,17107
2640,1_merged_878624,862874,Northbound to MACNAB TERMINAL PLATFORM 2,1,a_409988,17107
2709,2_merged_878629,866518,Eastbound to MOUNT ALBION LOOP,0,b_411159,17482
2709,2_merged_878629,866519,Eastbound to MOUNT ALBION LOOP,0,b_411160,17482
2640,1_merged_878624,862879,Northbound to MACNAB TERMINAL PLATFORM 2,1,a_409990,17107
2640,1_merged_878624,862878,Northbound to MACNAB TERMINAL PLATFORM 2,1,a_409984,17107
2716,2_merged_878629,869209,Northbound to JOHN at BURLINGTON TERMINAL,1,b_411332,17545
2716,2_merged_878629,869208,Northbound to JOHN at BURLINGTON TERMINAL,1,b_411331,17545
2708,4,866314,Westbound to GO STATION,1,b_411146,17477
2710,2_merged_878629,867177,Westbound to MARTINDALE at GOLF LINKS (WEST),0,b_411209,17494
2705,1_merged_878624,861399,Westbound to MARTINDALE at GOLF LINKS (WEST) ,0,a_410880,17428
2705,1_merged_878624,861398,Westbound to MARTINDALE at GOLF LINKS (WEST) ,0,a_410871,17428
2705,1_merged_878624,861393,Westbound to MARTINDALE at GOLF LINKS (WEST) ,0,a_410871,17428
2705,1_merged_878624,861392,Westbound to MARTINDALE at GOLF LINKS (WEST) ,0,a_410876,17428
2705,1_merged_878624,861391,Westbound to MARTINDALE at GOLF LINKS (WEST) ,0,a_410868,17428
2705,1_merged_878624,861390,Westbound to MARTINDALE at GOLF LINKS (WEST) ,0,a_410892,17428
2705,1_merged_878624,861397,Westbound to MARTINDALE at GOLF LINKS (WEST) ,0,a_410868,17428
2705,1_merged_878624,861396,Westbound to MARTINDALE at GOLF LINKS (WEST) ,0,a_410876,17428
2705,1_merged_878624,861395,Westbound to MARTINDALE at GOLF LINKS (WEST) ,0,a_410882,17428
2705,1_merged_878624,861394,Westbound to MARTINDALE at GOLF LINKS (WEST) ,0,a_410880,17428
2738,1_merged_878627,875578,Eastbound to Opposite 342 KING,0,b_411309,17641
2710,2_merged_878629,867176,Westbound to HEAD ST LOOP,0,b_411216,17489
2724,1_merged_878627,877627,Southbound to UPPER GAGE at RYMAL,0,b_411421,17572
2633,1_merged_878624,842288,Northbound to JOHN at Burlington Terminal ,1,a_410969,17083
2633,1_merged_878624,842289,Northbound to JOHN at Burlington Terminal ,1,a_410972,17083
2633,1_merged_878624,842286,Northbound to JOHN at Burlington Terminal ,1,a_410969,17083
2633,1_merged_878624,842287,Northbound to JOHN at Burlington Terminal ,1,a_410971,17083
2633,1_merged_878624,842284,Northbound to JOHN at Burlington Terminal ,1,a_410972,17082
2633,1_merged_878624,842285,Northbound to JOHN at Burlington Terminal ,1,a_410970,17083
2633,1_merged_878624,842282,Northbound to JOHN at Burlington Terminal ,1,a_410971,17083
2633,1_merged_878624,842283,Northbound to JOHN at Burlington Terminal ,1,a_410969,17083
2633,1_merged_878624,842280,Northbound to JOHN at Burlington Terminal ,1,a_410971,17082
2633,1_merged_878624,842281,Northbound to JOHN at Burlington Terminal ,1,a_410969,17083
2625,3_merged_878625,839424,Eastbound to REID at DUNSMURE ,0,a_409701,17011
2625,3_merged_878625,839425,Eastbound to REID at DUNSMURE ,0,a_409702,17011
2625,3_merged_878625,839426,Westbound to GO STATION,1,a_409701,17014
2625,3_merged_878625,839427,Westbound to GO STATION,1,a_409702,17014
2625,3_merged_878625,839420,Eastbound to REID at DUNSMURE ,0,a_409701,17011
2625,3_merged_878625,839421,Eastbound to REID at DUNSMURE ,0,a_409702,17011
2625,3_merged_878625,839422,Eastbound to REID at DUNSMURE ,0,a_409701,17011
2625,3_merged_878625,839423,Eastbound to REID at DUNSMURE ,0,a_409702,17011
2625,3_merged_878625,839428,Westbound to GO STATION,1,a_409701,17014
2625,3_merged_878625,839429,Westbound to GO STATION,1,a_409702,17014
2650,1_merged_878624,847887,Westbound to ANCASTER BUSINESS PARK,0,a_410168,17154
2650,1_merged_878624,847886,Westbound to ANCASTER BUSINESS PARK,0,a_410172,17154
2650,1_merged_878624,847885,Westbound to ANCASTER BUSINESS PARK,0,a_410168,17154
